,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49,iter50,iter51,iter52,iter53,iter54,iter55,iter56,iter57,iter58,iter59,iter60,iter61,iter62,iter63,iter64,iter65,iter66,iter67,iter68,iter69,iter70,iter71,iter72,iter73,iter74,iter75,iter76,iter77,iter78,iter79,iter80,iter81,iter82,iter83,iter84,iter85,iter86,iter87,iter88,iter89,iter90,iter91,iter92,iter93,iter94,iter95,iter96,iter97,iter98,iter99,iter100,iter101,iter102,iter103,iter104,iter105,iter106,iter107,iter108,iter109,iter110,iter111,iter112,iter113,iter114,iter115,iter116,iter117,iter118,iter119,iter120,iter121,iter122,iter123,iter124,iter125,iter126,iter127,iter128,iter129,iter130,iter131,iter132,iter133,iter134,iter135,iter136,iter137,iter138,iter139,iter140,iter141,iter142,iter143,iter144,iter145,iter146,iter147,iter148,iter149,iter150,iter151,iter152,iter153,iter154,iter155,iter156,iter157,iter158,iter159,iter160,iter161,iter162,iter163,iter164,iter165,iter166,iter167,iter168,iter169,iter170,iter171,iter172,iter173,iter174,iter175,iter176,iter177,iter178,iter179,iter180,iter181,iter182,iter183,iter184,iter185,iter186,iter187,iter188,iter189,iter190,iter191,iter192,iter193,iter194,iter195,iter196,iter197,iter198,iter199,iter200,iter201,iter202,iter203,iter204,iter205,iter206,iter207,iter208,iter209,iter210,iter211,iter212,iter213,iter214,iter215,iter216,iter217,iter218,iter219,iter220,iter221,iter222,iter223,iter224,iter225,iter226,iter227,iter228,iter229,iter230,iter231,iter232,iter233,iter234,iter235,iter236,iter237,iter238,iter239,iter240,iter241,iter242,iter243,iter244,iter245,iter246,iter247,iter248,iter249,iter250,iter251
run31,0.0064,0.0026,0.0046,0.0037,0.0043,0.0051,0.0029,0.0048,0.0069,0.005,0.0031,0.005,0.0047,0.005,0.0073,0.0048,0.0033,0.0049,0.0067,0.0044,0.0046,0.0048,0.0044,0.0032,0.004,0.0044,0.0052,0.0058,0.0006,0.0039,0.0035,0.003,0.0074,0.0068,0.0009,0.002,0.006,0.0053,0.003,0.0053,0.0071,0.0023,0.005,0.0024,0.006,0.0016,0.002,0.0062,0.0038,0.0037,0.0072,0.0035,0.0021,0.0041,0.0042,0.0009,0.0129,0.0102,0.0092,0.007,0.0076,0.0086,0.0041,0.0037,0.0023,0.008,0.0023,0.0121,0.0065,0.006,0.0089,0.0066,0.0023,0.0032,0.0077,0.0027,0.0029,0.0059,0.0064,0.0053,0.0055,0.0029,0.0078,0.0069,0.0037,0.0049,0.0132,0.0226,0.0051,0.0099,0.003,0.0026,0.0014,0.002,0.0047,0.0052,0.0087,0.0074,0.0076,0.002,0.0032,0.003,0.0081,0.0056,0.0069,0.0036,0.0038,0.0019,0.0021,0.0052,0.0025,0.0065,0.0091,0.0195,0.0066,0.006,0.0016,0.0064,0.0028,0.0033,0.0046,0.0067,0.0055,0.0036,0.0027,0.0165,0.0132,0.006,0.0022,0.0062,0.0066,0.0073,0.0043,0.0018,0.0048,0.0035,0.006,0.0028,0.0068,0.0029,0.006,0.0008,0.0008,0.0074,0.0068,0.0005,0.0036,0.0057,0.0059,0.0031,0.0035,0.0226,0.0031,0.0044,0.0187,0.0067,0.0033,0.0048,0.0047,0.0057,0.0037,0.0052,0.0028,0.002,0.0059,0.0069,0.007,0.0154,0.0058,0.0018,0.0108,0.0034,0.0068,0.0089,0.0033,0.0027,0.003,0.0192,0.0022,0.0014,0.0026,0.0066,0.0034,0.0039,0.0031,0.0101,0.0058,0.0023,0.0079,0.0024,0.0052,0.0077,0.0045,0.0235,0.0162,0.0021,0.001,0.0022,0.0104,0.0014,0.0097,0.001,0.0025,0.0067,0.0041,0.0138,0.0074,0.0104,0.003,0.0022,0.0107,0.001,0.0109,0.0003,0.0068,0.0156,0.0024,0.0026,0.0035,0.0069,0.0022,0.0004,0.0019,0.0029,0.0025,0.0064,0.0063,0.0068,0.0234,0.0119,0.0021,0.0076,0.0045,0.0014,0.0036,0.0108,0.0023,0.0108,0.0071,0.0009,0.0004,0.0156,0.0214,0.0107,0.001,0.0097,0.0013,0.0019,0.0023,0.0014,0.0022
run32,0.0214,0.0029,0.0009,0.0051,0.0068,0.0009,0.0052,0.0066,0.005,0.0121,0.003,0.0016,0.0048,0.0022,0.0074,0.002,0.0043,0.0046,0.002,0.0069,0.0072,0.0031,0.006,0.0059,0.0081,0.0048,0.0048,0.0074,0.0029,0.0069,0.0035,0.0077,0.0047,0.0048,0.003,0.0091,0.0051,0.002,0.0074,0.0032,0.004,0.0044,0.006,0.0028,0.0046,0.0037,0.0029,0.0044,0.0056,0.0059,0.0029,0.0064,0.0057,0.0043,0.0033,0.0044,0.006,0.005,0.0032,0.002,0.0053,0.0066,0.0037,0.0037,0.005,0.0038,0.0067,0.0102,0.0092,0.0062,0.0036,0.0026,0.0037,0.0078,0.0086,0.0071,0.0053,0.003,0.0069,0.0037,0.0039,0.0049,0.006,0.0099,0.0047,0.0032,0.0055,0.0132,0.0226,0.0027,0.0034,0.0066,0.0187,0.0065,0.0052,0.008,0.0021,0.0052,0.0025,0.0087,0.002,0.0076,0.007,0.0049,0.0035,0.0062,0.0073,0.0066,0.0008,0.006,0.0052,0.0028,0.0018,0.006,0.0039,0.0042,0.0052,0.0069,0.0046,0.0068,0.0079,0.0014,0.0065,0.006,0.0035,0.0005,0.0064,0.0023,0.0023,0.0018,0.0034,0.007,0.0162,0.0058,0.0058,0.0041,0.0053,0.0006,0.005,0.0076,0.0033,0.0046,0.0067,0.0019,0.0031,0.0035,0.0033,0.0014,0.0132,0.0226,0.0028,0.0023,0.0026,0.0031,0.0048,0.003,0.0067,0.0234,0.0021,0.0067,0.0068,0.0073,0.0138,0.003,0.001,0.0008,0.0057,0.0036,0.0059,0.0047,0.0027,0.0033,0.0101,0.0041,0.0025,0.0068,0.0097,0.0024,0.0023,0.0069,0.0129,0.0104,0.0022,0.0024,0.0154,0.0021,0.0089,0.0068,0.0041,0.0045,0.0024,0.0077,0.0036,0.0055,0.0165,0.0022,0.0119,0.0045,0.0023,0.0108,0.0058,0.0104,0.001,0.0235,0.0074,0.001,0.0108,0.003,0.0192,0.0022,0.0014,0.0156,0.0026,0.0031,0.0109,0.0023,0.0003,0.0027,0.0195,0.0024,0.0089,0.0071,0.0016,0.0235,0.0029,0.0035,0.0019,0.0004,0.0064,0.0025,0.0107,0.0063,0.0064,0.0021,0.0076,0.0014,0.0108,0.0036,0.0044,0.0071,0.0009,0.0004,0.0156,0.0107,0.001,0.0097,0.0013,0.0019,0.0023,0.0026,0.0022
run33,0.0045,0.0024,0.0036,0.0038,0.0048,0.0073,0.006,0.0013,0.005,0.0092,0.0046,0.0048,0.0066,0.0044,0.0089,0.0022,0.0032,0.0048,0.0072,0.0031,0.0074,0.0044,0.003,0.0058,0.0036,0.006,0.0081,0.0032,0.0077,0.004,0.0062,0.0044,0.002,0.0086,0.0038,0.0154,0.0034,0.0059,0.0026,0.0048,0.0008,0.0042,0.006,0.0078,0.0051,0.0043,0.0033,0.0035,0.0043,0.0041,0.0053,0.0049,0.0104,0.0056,0.0068,0.003,0.0047,0.0069,0.0053,0.003,0.002,0.0064,0.008,0.0069,0.0019,0.0037,0.0039,0.0046,0.005,0.0037,0.0067,0.002,0.0035,0.0029,0.0121,0.0037,0.0047,0.006,0.0066,0.0057,0.0047,0.0055,0.0046,0.0033,0.0031,0.0187,0.0067,0.0032,0.005,0.003,0.0087,0.0076,0.002,0.0074,0.0064,0.0099,0.0029,0.0062,0.0052,0.0059,0.0069,0.006,0.0016,0.0048,0.007,0.0004,0.0049,0.0068,0.0014,0.0037,0.0073,0.0132,0.0052,0.0226,0.0057,0.0031,0.0035,0.0035,0.0028,0.0027,0.0023,0.0067,0.0026,0.0023,0.0066,0.0069,0.0059,0.0033,0.0052,0.0027,0.0026,0.0068,0.0029,0.0029,0.0132,0.0226,0.0028,0.0034,0.0091,0.0006,0.0053,0.005,0.0018,0.0021,0.0065,0.0051,0.0052,0.0009,0.0069,0.0121,0.0058,0.0138,0.006,0.0079,0.0033,0.006,0.0102,0.001,0.0014,0.0041,0.0074,0.002,0.0024,0.0023,0.0162,0.0195,0.0108,0.0024,0.0023,0.0025,0.001,0.0028,0.0097,0.0076,0.0071,0.0024,0.0018,0.0009,0.0023,0.0055,0.007,0.0077,0.0021,0.0022,0.003,0.0067,0.0192,0.0041,0.0129,0.0016,0.0025,0.0058,0.0068,0.003,0.0021,0.0104,0.0022,0.0052,0.0031,0.0065,0.0068,0.0023,0.0108,0.0235,0.0074,0.0089,0.0027,0.0101,0.0014,0.0156,0.0023,0.0039,0.0019,0.0003,0.0025,0.0029,0.0036,0.0234,0.0107,0.0022,0.0004,0.0064,0.0026,0.0063,0.0108,0.0014,0.0008,0.0044,0.0119,0.0064,0.0045,0.0156,0.001,0.0076,0.0021,0.001,0.0068,0.0022,0.0214,0.0107,0.0109,0.0035,0.0071,0.0071,0.0009,0.0097,0.0005,0.0019,0.0036,0.0014,0.0165
run34,0.0025,0.0065,0.0073,0.0035,0.0053,0.0008,0.0009,0.0004,0.0052,0.0066,0.0052,0.0037,0.0047,0.005,0.0078,0.0073,0.003,0.0092,0.0086,0.0051,0.0037,0.0043,0.0052,0.0046,0.0048,0.0046,0.005,0.0081,0.0038,0.0048,0.003,0.0037,0.0029,0.0021,0.0051,0.0102,0.0032,0.0062,0.0031,0.0032,0.0074,0.0068,0.0058,0.0041,0.0066,0.0077,0.0089,0.0037,0.0039,0.0074,0.0043,0.0053,0.0035,0.005,0.0121,0.004,0.0044,0.0044,0.0036,0.0032,0.0077,0.0033,0.0023,0.0038,0.0009,0.0121,0.0048,0.006,0.0059,0.0026,0.0053,0.002,0.0064,0.0055,0.003,0.0069,0.0037,0.0049,0.0029,0.0023,0.0047,0.0034,0.0087,0.0076,0.0064,0.0099,0.0048,0.0066,0.0046,0.0072,0.0044,0.0042,0.0049,0.006,0.0056,0.002,0.0069,0.0074,0.0027,0.0066,0.0069,0.0028,0.0062,0.0035,0.006,0.0052,0.0018,0.002,0.0132,0.0226,0.0091,0.006,0.0006,0.0067,0.0014,0.0029,0.0039,0.0052,0.0008,0.0021,0.005,0.0033,0.0046,0.0067,0.001,0.0044,0.0107,0.0019,0.0031,0.0192,0.0041,0.0132,0.0067,0.0028,0.0108,0.0068,0.0048,0.0058,0.0022,0.008,0.0057,0.0129,0.0162,0.0036,0.0057,0.0059,0.0047,0.0018,0.0026,0.0022,0.0035,0.0014,0.0226,0.0027,0.0026,0.0024,0.0033,0.0076,0.0058,0.0023,0.0068,0.0021,0.0068,0.0195,0.006,0.0013,0.0023,0.0036,0.0055,0.0022,0.0154,0.0034,0.0024,0.0045,0.006,0.0016,0.001,0.002,0.0059,0.007,0.0069,0.0031,0.0035,0.0033,0.0031,0.0187,0.0014,0.0071,0.0025,0.0104,0.003,0.0069,0.0138,0.0024,0.002,0.007,0.0027,0.0074,0.0029,0.0065,0.0089,0.0016,0.0068,0.0068,0.003,0.0067,0.0104,0.0235,0.0041,0.0023,0.0156,0.0024,0.0026,0.0101,0.0003,0.0079,0.0019,0.0029,0.0036,0.0022,0.0064,0.0063,0.0025,0.0097,0.0004,0.001,0.0076,0.0064,0.0014,0.0108,0.0234,0.0119,0.0156,0.0023,0.0108,0.0021,0.0022,0.0045,0.001,0.0214,0.0109,0.0107,0.0071,0.0071,0.0009,0.0097,0.0005,0.0019,0.0023,0.0014,0.0165
run35,0.0008,0.0046,0.0069,0.0066,0.0129,0.0104,0.0121,0.0026,0.0044,0.0029,0.0046,0.0022,0.0043,0.0051,0.005,0.0047,0.0048,0.0046,0.0048,0.0067,0.0073,0.0032,0.005,0.0024,0.0072,0.0027,0.0044,0.0069,0.005,0.004,0.0062,0.0029,0.0058,0.0074,0.0039,0.0041,0.0032,0.0074,0.0077,0.0053,0.0031,0.0048,0.0009,0.0068,0.0074,0.0043,0.003,0.005,0.001,0.0049,0.0052,0.0027,0.0038,0.0036,0.007,0.002,0.0056,0.003,0.002,0.006,0.0033,0.003,0.0064,0.0059,0.0029,0.0029,0.0078,0.002,0.0037,0.0044,0.0037,0.0037,0.003,0.0052,0.0065,0.0066,0.0047,0.0032,0.0021,0.0052,0.0034,0.0087,0.0055,0.0053,0.0019,0.0069,0.0037,0.0092,0.0104,0.0049,0.0086,0.0076,0.0037,0.0025,0.0101,0.0053,0.002,0.0023,0.0187,0.0026,0.0027,0.0081,0.003,0.0038,0.0121,0.0065,0.0026,0.0079,0.006,0.006,0.0099,0.0059,0.0132,0.0226,0.0234,0.0102,0.0014,0.0028,0.0051,0.006,0.0035,0.0006,0.0058,0.006,0.0035,0.008,0.0162,0.0042,0.0023,0.0024,0.0009,0.0031,0.0014,0.0034,0.0021,0.0091,0.002,0.0023,0.0069,0.0138,0.0076,0.0041,0.0071,0.0089,0.0041,0.007,0.0067,0.0035,0.0018,0.0035,0.0069,0.0025,0.0033,0.0132,0.0226,0.0033,0.0046,0.0067,0.0067,0.0055,0.0023,0.0048,0.0068,0.0068,0.0235,0.0064,0.0068,0.0058,0.0057,0.0036,0.0059,0.0047,0.0057,0.0033,0.0039,0.0023,0.0021,0.0195,0.0108,0.0066,0.0073,0.0062,0.0068,0.0052,0.006,0.0008,0.001,0.0022,0.0022,0.0089,0.0018,0.0024,0.0044,0.0154,0.0192,0.0031,0.0077,0.0066,0.0068,0.0016,0.006,0.0016,0.0045,0.0004,0.0019,0.0014,0.0022,0.003,0.0052,0.0097,0.0074,0.0022,0.0003,0.0107,0.0036,0.0108,0.0023,0.0024,0.0071,0.0045,0.0235,0.001,0.0028,0.0109,0.0014,0.0064,0.0029,0.0022,0.0014,0.0004,0.0064,0.0025,0.0119,0.0156,0.0063,0.0076,0.0071,0.0009,0.0023,0.0108,0.001,0.0156,0.0214,0.0107,0.0005,0.0097,0.0013,0.0019,0.0036,0.0026,0.0165
run36,0.0101,0.002,0.0067,0.0086,0.0022,0.0032,0.004,0.0072,0.0025,0.0051,0.0031,0.002,0.006,0.0042,0.0069,0.0048,0.005,0.0089,0.0062,0.0044,0.0044,0.0077,0.0053,0.0031,0.0032,0.0038,0.0035,0.0046,0.0048,0.0121,0.006,0.0091,0.0044,0.0048,0.0047,0.0059,0.0029,0.0029,0.0051,0.0049,0.0052,0.005,0.0009,0.0043,0.0078,0.0046,0.0041,0.0065,0.0064,0.0081,0.0068,0.003,0.002,0.0059,0.0132,0.0028,0.0226,0.0195,0.0035,0.0074,0.005,0.0102,0.0056,0.0027,0.0037,0.0029,0.007,0.007,0.0033,0.002,0.0032,0.006,0.0034,0.0065,0.0138,0.0092,0.0069,0.0037,0.0058,0.0121,0.0021,0.0099,0.0034,0.0067,0.003,0.0068,0.0039,0.0041,0.003,0.0064,0.0025,0.0069,0.0036,0.0062,0.0026,0.0079,0.0037,0.0006,0.0235,0.005,0.003,0.0028,0.0058,0.0053,0.0074,0.006,0.0047,0.0038,0.0052,0.0053,0.0037,0.003,0.0049,0.0055,0.0087,0.0076,0.0019,0.0187,0.0066,0.0073,0.0043,0.0048,0.0069,0.0052,0.006,0.0021,0.0071,0.0066,0.0018,0.0066,0.0039,0.0014,0.0046,0.0074,0.002,0.0162,0.008,0.0027,0.0037,0.0035,0.006,0.0023,0.0058,0.0009,0.0068,0.0052,0.006,0.0016,0.0016,0.0008,0.0005,0.0073,0.0018,0.0033,0.0046,0.0067,0.0026,0.0031,0.0035,0.0033,0.0031,0.0048,0.0132,0.0226,0.0028,0.0057,0.0068,0.0023,0.0067,0.0023,0.0057,0.0036,0.0059,0.0047,0.0033,0.0108,0.0008,0.0029,0.0025,0.0129,0.0066,0.0068,0.0014,0.0097,0.0021,0.0024,0.0068,0.001,0.0024,0.0089,0.0192,0.0022,0.0045,0.0024,0.0077,0.0022,0.0235,0.0104,0.001,0.003,0.0074,0.0104,0.0022,0.0029,0.0023,0.0055,0.0165,0.0154,0.0022,0.0014,0.0109,0.001,0.0026,0.0156,0.0023,0.0003,0.0024,0.0027,0.0071,0.0035,0.0019,0.0004,0.0014,0.0064,0.0063,0.0064,0.0234,0.0119,0.0107,0.0021,0.0076,0.0045,0.0014,0.0108,0.0036,0.0023,0.0108,0.0044,0.0071,0.0009,0.0004,0.0156,0.0214,0.0107,0.001,0.0097,0.0013,0.0019,0.0036,0.0026,0.0022
run37,0.0069,0.0041,0.0046,0.0048,0.0044,0.0065,0.0235,0.0044,0.0119,0.0033,0.0032,0.0051,0.0048,0.0058,0.0023,0.0053,0.0032,0.0016,0.0077,0.0035,0.005,0.0102,0.0062,0.0044,0.0009,0.0048,0.0068,0.0029,0.003,0.0072,0.0037,0.0074,0.0074,0.0016,0.0092,0.0031,0.0043,0.0046,0.005,0.0039,0.003,0.0081,0.0056,0.006,0.0028,0.0074,0.002,0.0037,0.0069,0.002,0.002,0.0035,0.0086,0.002,0.0042,0.0036,0.003,0.0059,0.0043,0.005,0.0041,0.0052,0.0049,0.0067,0.0038,0.0047,0.0048,0.0023,0.0023,0.005,0.0053,0.006,0.0023,0.0069,0.0089,0.0021,0.0029,0.0089,0.0006,0.007,0.0068,0.006,0.0076,0.0066,0.0062,0.0073,0.006,0.0052,0.0066,0.0013,0.0038,0.0046,0.0037,0.0057,0.0059,0.0047,0.0018,0.006,0.0035,0.008,0.0068,0.0008,0.0031,0.0035,0.0033,0.0031,0.0036,0.0019,0.0064,0.0057,0.0078,0.0046,0.0192,0.001,0.0014,0.0022,0.0034,0.0068,0.0004,0.0059,0.0033,0.0037,0.0154,0.0048,0.0029,0.0053,0.003,0.0055,0.0047,0.0066,0.006,0.002,0.0032,0.0069,0.0067,0.0087,0.0076,0.0064,0.0049,0.0029,0.0132,0.0226,0.0067,0.0052,0.0027,0.006,0.0132,0.0226,0.0027,0.0026,0.0014,0.0021,0.0034,0.0039,0.0051,0.0009,0.0121,0.0091,0.0065,0.0052,0.0058,0.0033,0.0069,0.0026,0.0023,0.0073,0.0071,0.0138,0.0028,0.0108,0.0121,0.0045,0.0018,0.0099,0.0024,0.0008,0.0129,0.0021,0.0036,0.0055,0.0022,0.0022,0.0024,0.0107,0.0014,0.007,0.0052,0.001,0.0077,0.003,0.0104,0.0041,0.0195,0.0067,0.0079,0.0162,0.0024,0.003,0.0068,0.0058,0.0025,0.0025,0.0031,0.0187,0.0104,0.0027,0.0074,0.0023,0.0108,0.0235,0.0156,0.0024,0.0022,0.0101,0.0014,0.0003,0.0029,0.0036,0.0022,0.0234,0.0025,0.0064,0.0063,0.0097,0.0108,0.0035,0.0019,0.0004,0.001,0.0064,0.0014,0.0044,0.0156,0.0076,0.0021,0.0045,0.001,0.0068,0.0022,0.0214,0.0109,0.0107,0.0071,0.0071,0.0009,0.0097,0.0005,0.0019,0.0023,0.0026,0.0165
run38,0.0107,0.0226,0.0031,0.004,0.0044,0.0062,0.0044,0.0119,0.0032,0.0043,0.0037,0.0086,0.0047,0.005,0.0073,0.0051,0.005,0.0029,0.0031,0.0037,0.0048,0.0067,0.0048,0.0046,0.0048,0.005,0.0046,0.0066,0.0052,0.0065,0.0044,0.0029,0.0027,0.0077,0.002,0.0074,0.003,0.0081,0.002,0.0059,0.0069,0.0226,0.0043,0.0048,0.001,0.0056,0.007,0.0108,0.0033,0.0059,0.0026,0.0032,0.006,0.0036,0.0053,0.0074,0.0053,0.0051,0.0041,0.006,0.0102,0.0092,0.0069,0.0021,0.0025,0.0235,0.0065,0.0032,0.0028,0.0037,0.0052,0.0078,0.0034,0.0062,0.0073,0.0066,0.0052,0.006,0.0035,0.0069,0.0071,0.0039,0.0022,0.0021,0.0016,0.0016,0.0024,0.0023,0.0003,0.006,0.0008,0.002,0.0038,0.0039,0.0042,0.0047,0.0052,0.0038,0.0064,0.0034,0.003,0.003,0.0018,0.0066,0.0009,0.0035,0.0068,0.005,0.0041,0.0013,0.0018,0.0027,0.0026,0.0057,0.0087,0.002,0.0019,0.0009,0.0053,0.0069,0.0037,0.003,0.0046,0.006,0.0121,0.0076,0.006,0.0044,0.0192,0.0089,0.0029,0.0046,0.002,0.0022,0.0068,0.0035,0.0154,0.0037,0.0074,0.0071,0.0006,0.0072,0.0023,0.0057,0.0036,0.0047,0.0059,0.0033,0.006,0.0058,0.0068,0.0091,0.007,0.0064,0.0099,0.0068,0.0025,0.008,0.0021,0.0049,0.0055,0.0023,0.0014,0.0076,0.0024,0.0023,0.0129,0.0066,0.0069,0.0121,0.0028,0.0033,0.0028,0.0067,0.0048,0.001,0.0067,0.0097,0.0058,0.0031,0.0035,0.0033,0.0031,0.0187,0.0052,0.003,0.0041,0.0067,0.0195,0.0079,0.0068,0.0023,0.0162,0.0108,0.0089,0.0045,0.0235,0.0024,0.0023,0.0055,0.0022,0.0104,0.003,0.0014,0.0104,0.0022,0.0008,0.0132,0.0026,0.001,0.0029,0.0074,0.0022,0.0027,0.0132,0.0036,0.0101,0.0023,0.0108,0.0024,0.0025,0.0029,0.0045,0.0234,0.0004,0.0064,0.0026,0.0035,0.0019,0.0004,0.0014,0.0064,0.001,0.0156,0.0063,0.0109,0.0076,0.0021,0.0068,0.0022,0.0156,0.0214,0.0107,0.0071,0.0009,0.0097,0.0005,0.0019,0.0036,0.0014,0.0165
run39,0.0052,0.0042,0.0195,0.0067,0.0074,0.0104,0.0102,0.0037,0.008,0.0034,0.004,0.0044,0.0031,0.0037,0.0119,0.0044,0.0032,0.0046,0.0044,0.0048,0.0092,0.0051,0.0043,0.0048,0.0058,0.0039,0.0023,0.0024,0.0032,0.0077,0.0074,0.0035,0.0009,0.0043,0.002,0.006,0.0053,0.0068,0.003,0.0051,0.0062,0.0016,0.0016,0.003,0.003,0.005,0.0041,0.006,0.005,0.0066,0.0029,0.0048,0.0033,0.007,0.0046,0.005,0.0121,0.002,0.0053,0.0076,0.0072,0.0064,0.0041,0.003,0.0081,0.0027,0.0059,0.0029,0.0029,0.0078,0.0021,0.0032,0.0065,0.0034,0.0056,0.006,0.0035,0.0099,0.0031,0.002,0.0059,0.0037,0.0069,0.0047,0.0086,0.003,0.0069,0.0091,0.0036,0.0065,0.0074,0.005,0.0026,0.0024,0.0047,0.0038,0.0049,0.0053,0.0037,0.006,0.0132,0.0226,0.002,0.0052,0.0087,0.0076,0.0006,0.0019,0.0069,0.006,0.0064,0.0068,0.0069,0.007,0.0058,0.0031,0.0028,0.0021,0.0014,0.0067,0.0235,0.0023,0.0055,0.0162,0.0028,0.002,0.0046,0.0062,0.0069,0.0066,0.0073,0.0052,0.0018,0.0066,0.006,0.0048,0.0039,0.0023,0.006,0.0068,0.0138,0.0071,0.0008,0.0033,0.0046,0.0067,0.0044,0.0187,0.001,0.0037,0.0057,0.0132,0.0067,0.0028,0.0031,0.0014,0.0226,0.0035,0.0033,0.0048,0.0009,0.0052,0.0192,0.0023,0.0005,0.0026,0.0018,0.0121,0.0008,0.0033,0.0073,0.0057,0.0036,0.0059,0.0047,0.0027,0.0022,0.0035,0.0026,0.0068,0.0129,0.0068,0.0058,0.0089,0.0077,0.0154,0.0021,0.0022,0.0066,0.0045,0.0097,0.0041,0.0068,0.0089,0.0024,0.0023,0.0023,0.0055,0.0022,0.0107,0.0014,0.0104,0.0023,0.0108,0.0235,0.0079,0.0108,0.001,0.003,0.0052,0.0101,0.0025,0.0109,0.0074,0.0022,0.0029,0.001,0.0108,0.0027,0.0003,0.0024,0.0234,0.0025,0.0022,0.0035,0.0019,0.0004,0.0029,0.0064,0.0026,0.0064,0.0021,0.0045,0.0014,0.0156,0.0036,0.0063,0.0076,0.0071,0.0009,0.0214,0.0004,0.0156,0.0107,0.001,0.0097,0.0013,0.0019,0.0036,0.0014,0.0165
run40,0.0074,0.0047,0.0042,0.0089,0.0046,0.0195,0.0027,0.0037,0.0033,0.0029,0.0031,0.0044,0.0048,0.0048,0.0032,0.0044,0.0072,0.005,0.006,0.0048,0.0073,0.0053,0.0022,0.0035,0.0034,0.0027,0.0023,0.0035,0.0032,0.0058,0.002,0.0035,0.0009,0.0074,0.0039,0.0056,0.0068,0.0069,0.0048,0.0016,0.002,0.0059,0.0077,0.0074,0.003,0.0081,0.0046,0.0053,0.0066,0.0051,0.004,0.0044,0.005,0.0029,0.0043,0.006,0.003,0.002,0.0071,0.0062,0.002,0.0038,0.0014,0.0069,0.0121,0.0043,0.0041,0.0092,0.0069,0.0067,0.0037,0.0059,0.0029,0.0064,0.0026,0.0023,0.005,0.003,0.0041,0.0037,0.003,0.0074,0.0053,0.0069,0.0037,0.0027,0.006,0.0099,0.0019,0.0078,0.0132,0.0226,0.0016,0.0034,0.0032,0.0086,0.006,0.0051,0.0091,0.0009,0.007,0.0046,0.0021,0.008,0.0087,0.002,0.0076,0.0028,0.0102,0.0021,0.0065,0.0025,0.0121,0.0047,0.0052,0.0037,0.0049,0.0036,0.0076,0.0187,0.0062,0.0073,0.0066,0.006,0.0052,0.0028,0.0018,0.0039,0.0038,0.001,0.0026,0.0006,0.0049,0.0065,0.0068,0.0055,0.0036,0.0033,0.0046,0.0132,0.006,0.0024,0.0013,0.0031,0.0035,0.0033,0.0226,0.0028,0.0022,0.0067,0.0026,0.0031,0.0067,0.0066,0.0129,0.0052,0.0068,0.0018,0.0162,0.0048,0.0058,0.0057,0.0036,0.0059,0.0057,0.0047,0.0108,0.0022,0.0068,0.003,0.007,0.0064,0.0033,0.0029,0.0023,0.0055,0.0023,0.0069,0.0138,0.0235,0.0024,0.0066,0.0045,0.0008,0.0052,0.0154,0.0058,0.0192,0.0024,0.0097,0.0024,0.0052,0.001,0.0025,0.0008,0.0077,0.0021,0.001,0.0029,0.0104,0.003,0.0067,0.0041,0.0068,0.0104,0.0235,0.0014,0.0031,0.0023,0.0036,0.0101,0.0079,0.0156,0.0026,0.0022,0.0003,0.0022,0.0045,0.0107,0.0025,0.0004,0.0063,0.0035,0.0019,0.0004,0.0076,0.0108,0.0014,0.0064,0.0234,0.0119,0.001,0.0044,0.0156,0.0021,0.0023,0.0108,0.0068,0.0022,0.0109,0.0214,0.0107,0.0071,0.0071,0.0009,0.0097,0.0005,0.0019,0.0023,0.0014,0.0165
